p_id,position_name,c_id
1,Android Engineer,53
2,Business Analyst,29
3,Business Analyst,79
4,Canadian Co-op,125
5,Data Analyst,171
6,Data Science,148
7,Data Science,170
8,Data Science,224
9,Data Science/Software Developer,231
10,Developer,52
11,Firmware,263
12,Full Stack Developer,48
13,Hardware,16
14,Hardware,239
15,Hardware,263
16,Machine Learning Engineer,273
17,Marketing Coordinator,58
18,Mobile Developer,43
19,Position Unavailable,5
20,Position Unavailable,7
21,Position Unavailable,24
22,Position Unavailable,34
23,Position Unavailable,49
24,Position Unavailable,50
25,Position Unavailable,115
26,Position Unavailable,142
32,Position Unavailable,144
33,Position Unavailable,145
34,Position Unavailable,146
35,Position Unavailable,169
36,Position Unavailable,174
38,Position Unavailable,205
39,Position Unavailable,226
40,Position Unavailable,234
41,Position Unavailable,259
42,Position Unavailable,279
43,Position Unavailable,286
44,Position Unavailable,298
45,Position Unavailable,1
46,Position Unavailable,2
47,Position Unavailable,3
48,Position Unavailable,4
49,Position Unavailable,6
50,Position Unavailable,8
51,Position Unavailable,9
52,Position Unavailable,10
53,Position Unavailable,11
54,Position Unavailable,12
55,Position Unavailable,13
57,Position Unavailable,14
58,Position Unavailable,15
59,Position Unavailable,19
60,Position Unavailable,20
61,Position Unavailable,21
62,Position Unavailable,22
63,Position Unavailable,23
65,Position Unavailable,26
67,Position Unavailable,27
69,Position Unavailable,28
71,Position Unavailable,30
73,Position Unavailable,31
75,Position Unavailable,32
76,Position Unavailable,33
77,Position Unavailable,35
78,Position Unavailable,36
79,Position Unavailable,37
80,Position Unavailable,38
82,Position Unavailable,39
83,Position Unavailable,40
84,Position Unavailable,41
85,Position Unavailable,42
86,Position Unavailable,44
87,Position Unavailable,45
88,Position Unavailable,46
89,Position Unavailable,47
90,Position Unavailable,51
92,Position Unavailable,54
93,Position Unavailable,55
94,Position Unavailable,56
95,Position Unavailable,57
96,Position Unavailable,58
97,Position Unavailable,59
98,Position Unavailable,60
99,Position Unavailable,61
100,Position Unavailable,62
101,Position Unavailable,63
102,Position Unavailable,64
103,Position Unavailable,65
104,Position Unavailable,66
105,Position Unavailable,67
106,Position Unavailable,68
107,Position Unavailable,69
108,Position Unavailable,70
109,Position Unavailable,71
111,Position Unavailable,72
112,Position Unavailable,73
113,Position Unavailable,74
114,Position Unavailable,75
115,Position Unavailable,76
116,Position Unavailable,77
117,Position Unavailable,80
118,Position Unavailable,81
119,Position Unavailable,82
120,Position Unavailable,83
121,Position Unavailable,84
122,Position Unavailable,85
123,Position Unavailable,86
