p_id,program_name
25,Accounting & Financial Management
2,Actuarial Science
3,Applied Mathematics
4,Biostatistics
20,Chemical Engineering
1,Combinatorics and Optimization
5,Computational Mathematics
17,Computer Engineering
27,Computer Science
26,Computing & Financial Management
6,Data Science
22,Electrical Engineering
28,FARM
23,Management Engineering
7,Mathematical Economics
8,Mathematical Finance
9,Mathematical Optimization
10,Mathematical Physics
11,Mathematical Studies
14,Mathematics/Teaching
19,Mechanical Engineering
18,Mechatronics Engineering
24,Other Engineering
15,Other Math
30,Other Programs - Contact Sys Admin to be added
29,Other Science - Contact Sys Admin to be added
12,Pure Mathematics
16,Software Engineering
13,Statistics
21,System Design Engineering
